generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
  255	1	0	0	1	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	0	0	1	1	0	0
  255	1	0.02	0	0.98	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.98	1	2.23008e-021
  255	1	0.04	0	0.96	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.96	1	4.55307e-021
  255	1	0.06	0	0.94	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.94	1	6.97492e-021
  255	1	0.08	0	0.92	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.92	1	9.50207e-021
  255	1	0.1	0	0.9	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.9	1	1.21415e-020
  256	1	0.12	0	0.88	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.88	1	1.4901e-020
  256	1	0.14	0	0.86	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.86	1	1.77887e-020
  256	1	0.16	0	0.84	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.84	1	2.0814e-020
  256	1	0.18	0	0.82	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.82	1	2.39869e-020
  256	1	0.2	0	0.8	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.8	1	2.73184e-020
  256	1	0.22	0	0.78	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.78	1	3.08208e-020
  256	1	0.24	0	0.76	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.76	1	3.45075e-020
  256	1	0.26	0	0.74	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.74	1	3.83935e-020
  256	1	0.28	0	0.72	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.72	1	4.24953e-020
  256	1	0.3	0	0.7	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.7	1	4.68316e-020
  256	1	0.32	0	0.68	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.68	1	5.14229e-020
  256	1	0.34	0	0.66	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.66	1	5.62926e-020
  256	1	0.36	0	0.64	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.64	1	6.14665e-020
  257	1	0.38	0	0.62	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.62	1	6.69742e-020
  257	1	0.4	0	0.6	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.6	1	7.28491e-020
  257	1	0.42	0	0.58	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.58	1	7.91292e-020
  257	1	0.44	0	0.56	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.56	1	8.58579e-020
  257	1	0.46	0	0.54	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.54	1	9.30851e-020
  258	1	0.48	0	0.52	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.52	1	1.00868e-019
  258	1	0.5	0	0.5	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.5	1	1.09274e-019
  258	1	0.52	0	0.48	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.48	1	1.1838e-019
  259	1	0.54	0	0.46	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.46	1	1.28278e-019
  260	1	0.56	0	0.44	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-019	0	1	0.44	1	1.39076e-019
  261	1	0.58	0	0.42	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.62004e-019	0	1	0.42	1	2.23719e-019
  265	1	0.6	0	0.4	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	5.07642e-011	0	1	0.4	1	7.61463e-011
* 501	1	0.62	0	0.38	multiplicative	1	0	166.335	355.979	0	0	166.335	355.979	2.14013	0.00562493	0	1	0.383487	0.994375	0.00909406
  131	1	0.64	0	0.36	multiplicative	1	0	3.67704	6.43005	0	0	3.67704	6.43005	1.74871	0.337671	0	1	0.576109	0.662329	0.375119
  100	1	0.66	0	0.34	multiplicative	1	0	3.26743	5.5279	0	0	3.26743	5.5279	1.69182	0.368277	0	1	0.583063	0.631723	0.416873
  83	1	0.68	0	0.32	multiplicative	1	0	2.94797	4.83777	0	0	2.94797	4.83777	1.64105	0.394315	0	1	0.588134	0.605685	0.455907
  71	1	0.7	0	0.3	multiplicative	1	0	2.6868	4.28324	0	0	2.6868	4.28324	1.59418	0.417143	0	1	0.592	0.582857	0.493243
  63	1	0.72	0	0.28	multiplicative	1	0	2.46672	3.82341	0	0	2.46672	3.82341	1.55	0.437537	0	1	0.595027	0.562463	0.529433
  57	1	0.74	0	0.26	multiplicative	1	0	2.27727	3.43356	0	0	2.27727	3.43356	1.50775	0.455997	0	1	0.597438	0.544003	0.564808
  51	1	0.76	0	0.24	multiplicative	1	0	2.11157	3.09751	0	0	2.11157	3.09751	1.46692	0.472867	0	1	0.599379	0.527133	0.599585
  48	1	0.78	0	0.22	multiplicative	1	0	1.96484	2.8041	0	0	1.96484	2.8041	1.42714	0.488399	0	1	0.600952	0.511601	0.633914
  44	1	0.8	0	0.2	multiplicative	1	0	1.8336	2.54525	0	0	1.8336	2.54525	1.38811	0.502787	0	1	0.60223	0.497213	0.667901
  42	1	0.82	0	0.18	multiplicative	1	0	1.71524	2.31492	0	0	1.71524	2.31492	1.34961	0.51618	0	1	0.603268	0.48382	0.701625
  39	1	0.84	0	0.16	multiplicative	1	0	1.60776	2.10849	0	0	1.60776	2.10849	1.31145	0.528699	0	1	0.604107	0.471301	0.735146
  38	1	0.86	0	0.14	multiplicative	1	0	1.50957	1.92236	0	0	1.50957	1.92236	1.27344	0.540443	0	1	0.604781	0.459557	0.768511
  36	1	0.88	0	0.12	multiplicative	1	0	1.41941	1.75361	0	0	1.41941	1.75361	1.23545	0.551495	0	1	0.605316	0.448505	0.801756
  35	1	0.9	0	0.1	multiplicative	1	0	1.33625	1.59992	0	0	1.33625	1.59992	1.19732	0.561923	0	1	0.605731	0.438077	0.83491
  33	1	0.92	0	0.08	multiplicative	1	0	1.25924	1.45936	0	0	1.25924	1.45936	1.15892	0.571787	0	1	0.606044	0.428213	0.867996
  32	1	0.94	0	0.06	multiplicative	1	0	1.18766	1.33033	0	0	1.18766	1.33033	1.12013	0.581139	0	1	0.60627	0.418861	0.901034
  31	1	0.96	0	0.04	multiplicative	1	0	1.12092	1.21149	0	0	1.12092	1.21149	1.0808	0.590021	0	1	0.60642	0.409979	0.934039
  31	1	0.98	0	0.02	multiplicative	1	0	1.05851	1.1017	0	0	1.05851	1.1017	1.0408	0.598474	0	1	0.606504	0.401526	0.967024
  30	1	1	0	0	multiplicative	1	0	1	1	0	0	1	1	1	0.606531	0	0	0.606531	0	1
