generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
  43	1	0.78	0	0.22	multiplicative	1	0.02	1.80159	2.47586	0	0	1.80159	2.47586	1.37426	0.493125	0	0.945573	0.592664	0.47849	0.648998
  41	1	0.8	0	0.2	multiplicative	1	0.02	1.69323	2.27324	0	0	1.69323	2.27324	1.34255	0.505681	0	0.947615	0.594068	0.466364	0.680974
  39	1	0.82	0	0.18	multiplicative	1	0.02	1.59374	2.08874	0	0	1.59374	2.08874	1.31059	0.517521	0	0.949495	0.595277	0.454951	0.712891
  37	1	0.84	0	0.16	multiplicative	1	0.02	1.50201	1.92006	0	0	1.50201	1.92006	1.27833	0.528713	0	0.951231	0.596316	0.44418	0.744771
  36	1	0.86	0	0.14	multiplicative	1	0.02	1.4171	1.76526	0	0	1.4171	1.76526	1.24569	0.539316	0	0.952841	0.597209	0.433992	0.776632
  35	1	0.88	0	0.12	multiplicative	1	0.02	1.33822	1.62272	0	0	1.33822	1.62272	1.21259	0.549379	0	0.954339	0.597974	0.424335	0.808486
  33	1	0.9	0	0.1	multiplicative	1	0.02	1.26473	1.49109	0	0	1.26473	1.49109	1.17898	0.558948	0	0.955737	0.598627	0.415165	0.840345
  32	1	0.92	0	0.08	multiplicative	1	0.02	1.19606	1.36919	0	0	1.19606	1.36919	1.14475	0.568063	0	0.957046	0.599181	0.406442	0.87222
  31	1	0.94	0	0.06	multiplicative	1	0.02	1.13172	1.25603	0	0	1.13172	1.25603	1.10984	0.576757	0	0.958274	0.599648	0.398129	0.904116
  31	1	0.96	0	0.04	multiplicative	1	0.02	1.07129	1.15072	0	0	1.07129	1.15072	1.07414	0.585062	0	0.959428	0.600036	0.390197	0.936042
  30	1	0.98	0	0.02	multiplicative	1	0.02	1.01442	1.05253	0	0	1.01442	1.05253	1.03757	0.593006	0	0.960516	0.600356	0.382618	0.968002
  29	1	1	0	0	multiplicative	1	0.02	0.960784	0.960784	0	0	0.960784	0.960784	1	0.600613	0	0	0.600613	0	1
