generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
  496	0.2	0	0	1	multiplicative	1	0.02	9.80002	9.80002	0	0	9.80002	9.80002	1	0	0	0.81873	0.81873	0	0
  577	0.2	0.02	0	0.98	multiplicative	1	0.02	9.26397	9.3544	0	0	9.26397	9.3544	1.00976	0.0857359	0	0.827563	0.812726	0.8964	0.00210983
  654	0.2	0.04	0	0.96	multiplicative	1	0.02	8.60825	8.79637	0	0	8.60825	8.79637	1.02185	0.102108	0	0.838496	0.80904	0.878225	0.00504836
  740	0.2	0.06	0	0.94	multiplicative	1	0.02	7.79073	8.0799	0	0	7.79073	8.0799	1.03712	0.126814	0	0.852327	0.808796	0.851215	0.00940759
  813	0.2	0.08	0	0.92	multiplicative	1	0.02	6.77506	7.15622	0	0	6.77506	7.15622	1.05626	0.165698	0	0.869825	0.813495	0.809504	0.0162949
  813	0.2	0.1	0	0.9	multiplicative	1	0.02	5.60757	6.04632	0	0	5.60757	6.04632	1.07824	0.224828	0	0.89038	0.823825	0.747492	0.0272908
  701	0.2	0.12	0	0.88	multiplicative	1	0.02	4.49554	4.93913	0	0	4.49554	4.93913	1.09867	0.300048	0	0.910404	0.837162	0.670423	0.0430094
  557	0.2	0.14	0	0.86	multiplicative	1	0.02	3.62043	4.03229	0	0	3.62043	4.03229	1.11376	0.376065	0	0.926476	0.849418	0.594091	0.0619826
  445	0.2	0.16	0	0.84	multiplicative	1	0.02	2.98328	3.35195	0	0	2.98328	3.35195	1.12358	0.442972	0	0.938353	0.859092	0.527926	0.0825005
  363	0.2	0.18	0	0.82	multiplicative	1	0.02	2.5179	2.84424	0	0	2.5179	2.84424	1.12961	0.499084	0	0.947124	0.866477	0.473053	0.103679
  302	0.2	0.2	0	0.8	multiplicative	1	0.02	2.16833	2.45692	0	0	2.16833	2.45692	1.13309	0.545764	0	0.953765	0.872165	0.427779	0.125152
  259	0.2	0.22	0	0.78	multiplicative	1	0.02	1.89772	2.15362	0	0	1.89772	2.15362	1.13484	0.584822	0	0.958938	0.876633	0.390136	0.146767
  227	0.2	0.24	0	0.76	multiplicative	1	0.02	1.68255	1.91034	0	0	1.68255	1.91034	1.13538	0.617829	0	0.963071	0.880213	0.358481	0.168458
  201	0.2	0.26	0	0.74	multiplicative	1	0.02	1.50755	1.71115	0	0	1.50755	1.71115	1.13505	0.646019	0	0.966445	0.883134	0.331551	0.190192
  180	0.2	0.28	0	0.72	multiplicative	1	0.02	1.3625	1.54519	0	0	1.3625	1.54519	1.13408	0.670342	0	0.969251	0.885556	0.308392	0.211952
  163	0.2	0.3	0	0.7	multiplicative	1	0.02	1.24035	1.40484	0	0	1.24035	1.40484	1.13262	0.691525	0	0.97162	0.887591	0.288276	0.233731
  148	0.2	0.32	0	0.68	multiplicative	1	0.02	1.13608	1.28465	0	0	1.13608	1.28465	1.13077	0.71013	0	0.973647	0.889321	0.27065	0.255522
  136	0.2	0.34	0	0.66	multiplicative	1	0.02	1.04603	1.18058	0	0	1.04603	1.18058	1.12863	0.726595	0	0.9754	0.890807	0.255081	0.277324
  125	0.2	0.36	0	0.64	multiplicative	1	0.02	0.967476	1.08962	0	0	0.967476	1.08962	1.12625	0.741266	0	0.976933	0.892093	0.241231	0.299135
  116	0.2	0.38	0	0.62	multiplicative	1	0.02	0.898347	1.00945	0	0	0.898347	1.00945	1.12367	0.754421	0	0.978283	0.893216	0.228832	0.320953
  107	0.2	0.4	0	0.6	multiplicative	1	0.02	0.83704	0.938261	0	0	0.83704	0.938261	1.12093	0.766281	0	0.979483	0.894202	0.217667	0.342778
  100	0.2	0.42	0	0.58	multiplicative	1	0.02	0.782295	0.874642	0	0	0.782295	0.874642	1.11805	0.777029	0	0.980555	0.895074	0.207562	0.364609
  94	0.2	0.44	0	0.56	multiplicative	1	0.02	0.73311	0.817452	0	0	0.73311	0.817452	1.11505	0.786814	0	0.981519	0.895849	0.198372	0.386447
  88	0.2	0.46	0	0.54	multiplicative	1	0.02	0.688677	0.765771	0	0	0.688677	0.765771	1.11195	0.795759	0	0.982391	0.89654	0.189978	0.408291
  83	0.2	0.48	0	0.52	multiplicative	1	0.02	0.648337	0.718845	0	0	0.648337	0.718845	1.10875	0.803968	0	0.983183	0.89716	0.18228	0.43014
  78	0.2	0.5	0	0.5	multiplicative	1	0.02	0.611548	0.676052	0	0	0.611548	0.676052	1.10548	0.81153	0	0.983906	0.897718	0.175196	0.451996
  74	0.2	0.52	0	0.48	multiplicative	1	0.02	0.57786	0.636874	0	0	0.57786	0.636874	1.10213	0.818516	0	0.984569	0.898222	0.168655	0.473857
  70	0.2	0.54	0	0.46	multiplicative	1	0.02	0.546894	0.600875	0	0	0.546894	0.600875	1.0987	0.824992	0	0.985178	0.898678	0.162596	0.495724
  67	0.2	0.56	0	0.44	multiplicative	1	0.02	0.518334	0.567688	0	0	0.518334	0.567688	1.09522	0.831011	0	0.985741	0.899092	0.156968	0.517596
  64	0.2	0.58	0	0.42	multiplicative	1	0.02	0.491907	0.536999	0	0	0.491907	0.536999	1.09167	0.83662	0	0.986262	0.89947	0.151726	0.539473
  61	0.2	0.6	0	0.4	multiplicative	1	0.02	0.467383	0.508539	0	0	0.467383	0.508539	1.08806	0.84186	0	0.986745	0.899814	0.146831	0.561356
  58	0.2	0.62	0	0.38	multiplicative	1	0.02	0.444563	0.482077	0	0	0.444563	0.482077	1.08438	0.846766	0	0.987195	0.900129	0.142251	0.583244
  55	0.2	0.64	0	0.36	multiplicative	1	0.02	0.423274	0.457411	0	0	0.423274	0.457411	1.08065	0.851369	0	0.987615	0.900418	0.137955	0.605137
  53	0.2	0.66	0	0.34	multiplicative	1	0.02	0.403367	0.434368	0	0	0.403367	0.434368	1.07686	0.855697	0	0.988008	0.900683	0.133917	0.627035
  51	0.2	0.68	0	0.32	multiplicative	1	0.02	0.384711	0.412794	0	0	0.384711	0.412794	1.073	0.859774	0	0.988377	0.900927	0.130115	0.648939
  49	0.2	0.7	0	0.3	multiplicative	1	0.02	0.367191	0.392556	0	0	0.367191	0.392556	1.06908	0.86362	0	0.988723	0.901151	0.12653	0.670847
  47	0.2	0.72	0	0.28	multiplicative	1	0.02	0.350706	0.373534	0	0	0.350706	0.373534	1.06509	0.867256	0	0.989049	0.901358	0.123141	0.69276
  45	0.2	0.74	0	0.26	multiplicative	1	0.02	0.335166	0.355623	0	0	0.335166	0.355623	1.06103	0.870698	0	0.989356	0.901549	0.119935	0.714677
