generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
* 2001	0.02	0	0	1	multiplicative	1	0	50.02	50.02	0	0	50.02	50.02	1	0	0	1	1	0	0
* 2001	0.02	0.02	0	0.98	multiplicative	1	0	46.9408	46.9409	0	0	46.9408	46.9409	1	8.00755e-06	0	1	0.98	0.999992	1.63419e-07
* 2001	0.02	0.04	0	0.96	multiplicative	1	0	38.4867	38.4888	0	0	38.4867	38.4888	1.00005	6.63008e-05	0	1	0.960003	0.999934	2.76253e-06
  1168	0.02	0.06	0	0.94	multiplicative	1	0	0.781485	0.796442	0	0	0.781485	0.796442	1.01914	0.818817	0	1	0.989129	0.181183	0.049669
  740	0.02	0.08	0	0.92	multiplicative	1	0	0.547311	0.557563	0	0	0.547311	0.557563	1.01873	0.868052	0	1	0.989444	0.131948	0.070185
  547	0.02	0.1	0	0.9	multiplicative	1	0	0.419792	0.427488	0	0	0.419792	0.427488	1.01833	0.896098	0	1	0.98961	0.103902	0.0905506
  434	0.02	0.12	0	0.88	multiplicative	1	0	0.339304	0.34539	0	0	0.339304	0.34539	1.01794	0.914265	0	1	0.989712	0.0857347	0.110852
  360	0.02	0.14	0	0.86	multiplicative	1	0	0.283808	0.288788	0	0	0.283808	0.288788	1.01755	0.927006	0	1	0.989781	0.0729943	0.131121
  307	0.02	0.16	0	0.84	multiplicative	1	0	0.243204	0.247377	0	0	0.243204	0.247377	1.01716	0.93644	0	1	0.98983	0.0635603	0.15137
  267	0.02	0.18	0	0.82	multiplicative	1	0	0.212198	0.215757	0	0	0.212198	0.215757	1.01677	0.943709	0	1	0.989868	0.0562914	0.171606
  236	0.02	0.2	0	0.8	multiplicative	1	0	0.187741	0.190818	0	0	0.187741	0.190818	1.01639	0.949482	0	1	0.989896	0.0505181	0.191835
  211	0.02	0.22	0	0.78	multiplicative	1	0	0.167954	0.170644	0	0	0.167954	0.170644	1.01601	0.954179	0	1	0.989919	0.0458214	0.212057
  190	0.02	0.24	0	0.76	multiplicative	1	0	0.151616	0.153986	0	0	0.151616	0.153986	1.01563	0.958074	0	1	0.989938	0.0419255	0.232275
  173	0.02	0.26	0	0.74	multiplicative	1	0	0.137895	0.139999	0	0	0.137895	0.139999	1.01526	0.961358	0	1	0.989953	0.0386416	0.25249
  159	0.02	0.28	0	0.72	multiplicative	1	0	0.12621	0.128088	0	0	0.12621	0.128088	1.01488	0.964164	0	1	0.989966	0.0358359	0.272702
  146	0.02	0.3	0	0.7	multiplicative	1	0	0.116138	0.117823	0	0	0.116138	0.117823	1.01451	0.966589	0	1	0.989977	0.0334109	0.292913
