generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
  1076	0.5	0	0	1	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	0	0	1	1	0	0
  1076	0.5	0.02	0	0.98	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.98	1	7.20798e-37
  1076	0.5	0.04	0	0.96	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.96	1	1.47163e-36
  1076	0.5	0.06	0	0.94	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.94	1	2.25441e-36
  1076	0.5	0.08	0	0.92	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53192e-35	0	1	0.92	1	3.07123e-36
  1077	0.5	0.1	0	0.9	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.9	1	3.92435e-36
  1077	0.5	0.12	0	0.88	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.88	1	4.81624e-36
  1077	0.5	0.14	0	0.86	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.86	1	5.74963e-36
  1077	0.5	0.16	0	0.84	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53192e-35	0	1	0.84	1	6.72746e-36
  1078	0.5	0.18	0	0.82	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.82	1	7.75298e-36
  1078	0.5	0.2	0	0.8	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.8	1	8.82978e-36
  1078	0.5	0.22	0	0.78	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53192e-35	0	1	0.78	1	9.96181e-36
  1079	0.5	0.24	0	0.76	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.76	1	1.11534e-35
  1079	0.5	0.26	0	0.74	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.74	1	1.24094e-35
  1080	0.5	0.28	0	0.72	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.72	1	1.37352e-35
  1080	0.5	0.3	0	0.7	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.7	1	1.51368e-35
  1081	0.5	0.32	0	0.68	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.68	1	1.66208e-35
  1082	0.5	0.34	0	0.66	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.66	1	1.81947e-35
  1083	0.5	0.36	0	0.64	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.64	1	1.9867e-35
  1084	0.5	0.38	0	0.62	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.62	1	2.16472e-35
  1085	0.5	0.4	0	0.6	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.6	1	2.35461e-35
  1087	0.5	0.42	0	0.58	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.58	1	2.55759e-35
  1089	0.5	0.44	0	0.56	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.56	1	2.77508e-35
  1093	0.5	0.46	0	0.54	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.54	1	3.00867e-35
  1100	0.5	0.48	0	0.52	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.52	1	3.26023e-35
  1133	0.5	0.5	0	0.5	multiplicative	1	0	450.57	403.558	0	0	450.57	403.558	0.895662	3.53191e-35	0	1	0.5	1	3.53191e-35
  135	0.5	0.52	0	0.48	multiplicative	1	0	2.01994	2.73123	0	0	2.01994	2.73123	1.35214	0.544476	0	1	0.763127	0.455524	0.371009
  113	0.5	0.54	0	0.46	multiplicative	1	0	1.85188	2.47429	0	0	1.85188	2.47429	1.33609	0.566229	0	1	0.765764	0.433771	0.399292
  99	0.5	0.56	0	0.44	multiplicative	1	0	1.70831	2.25603	0	0	1.70831	2.25603	1.32062	0.585535	0	1	0.7679	0.414465	0.427008
  89	0.5	0.58	0	0.42	multiplicative	1	0	1.58367	2.0676	0	0	1.58367	2.0676	1.30558	0.602858	0	1	0.769658	0.397142	0.454303
  81	0.5	0.6	0	0.4	multiplicative	1	0	1.47407	1.90285	0	0	1.47407	1.90285	1.29088	0.618536	0	1	0.771122	0.381464	0.481275
  74	0.5	0.62	0	0.38	multiplicative	1	0	1.37672	1.75729	0	0	1.37672	1.75729	1.27643	0.632825	0	1	0.772351	0.367175	0.507996
  68	0.5	0.64	0	0.36	multiplicative	1	0	1.28951	1.6276	0	0	1.28951	1.6276	1.26218	0.645923	0	1	0.773391	0.354077	0.534517
  64	0.5	0.66	0	0.34	multiplicative	1	0	1.21081	1.5112	0	0	1.21081	1.5112	1.24809	0.657991	0	1	0.774274	0.342009	0.560879
  60	0.5	0.68	0	0.32	multiplicative	1	0	1.13936	1.40608	0	0	1.13936	1.40608	1.23409	0.669158	0	1	0.775027	0.330842	0.587111
  56	0.5	0.7	0	0.3	multiplicative	1	0	1.07413	1.31063	0	0	1.07413	1.31063	1.22017	0.679529	0	1	0.775671	0.320471	0.613238
  53	0.5	0.72	0	0.28	multiplicative	1	0	1.0143	1.22354	0	0	1.0143	1.22354	1.20629	0.689195	0	1	0.776221	0.310805	0.639278
  50	0.5	0.74	0	0.26	multiplicative	1	0	0.959186	1.14375	0	0	0.959186	1.14375	1.19242	0.698231	0	1	0.776691	0.301769	0.665246
  47	0.5	0.76	0	0.24	multiplicative	1	0	0.908226	1.07036	0	0	0.908226	1.07036	1.17852	0.7067	0	1	0.777092	0.2933	0.691156
  45	0.5	0.78	0	0.22	multiplicative	1	0	0.860946	1.00263	0	0	0.860946	1.00263	1.16457	0.714658	0	1	0.777433	0.285342	0.717018
  43	0.5	0.8	0	0.2	multiplicative	1	0	0.816942	0.939929	0	0	0.816942	0.939929	1.15055	0.722153	0	1	0.777723	0.277847	0.742839
  41	0.5	0.82	0	0.18	multiplicative	1	0	0.77587	0.881713	0	0	0.77587	0.881713	1.13642	0.729227	0	1	0.777966	0.270773	0.768628
  39	0.5	0.84	0	0.16	multiplicative	1	0	0.737436	0.827522	0	0	0.737436	0.827522	1.12216	0.735917	0	1	0.77817	0.264083	0.794389
  38	0.5	0.86	0	0.14	multiplicative	1	0	0.701384	0.776955	0	0	0.701384	0.776955	1.10775	0.742253	0	1	0.778338	0.257747	0.82013
  37	0.5	0.88	0	0.12	multiplicative	1	0	0.66749	0.729665	0	0	0.66749	0.729665	1.09315	0.748266	0	1	0.778475	0.251734	0.845852
  35	0.5	0.9	0	0.1	multiplicative	1	0	0.635559	0.685347	0	0	0.635559	0.685347	1.07834	0.753981	0	1	0.778583	0.246019	0.871562
  34	0.5	0.92	0	0.08	multiplicative	1	0	0.605421	0.643734	0	0	0.605421	0.643734	1.06328	0.75942	0	1	0.778667	0.24058	0.89726
  33	0.5	0.94	0	0.06	multiplicative	1	0	0.576924	0.604591	0	0	0.576924	0.604591	1.04796	0.764604	0	1	0.778728	0.235396	0.922951
  32	0.5	0.96	0	0.04	multiplicative	1	0	0.549932	0.567708	0	0	0.549932	0.567708	1.03232	0.769552	0	1	0.77877	0.230448	0.948637
  31	0.5	0.98	0	0.02	multiplicative	1	0	0.524327	0.5329	0	0	0.524327	0.5329	1.01635	0.774279	0	1	0.778793	0.225721	0.974319
  31	0.5	1	0	0	multiplicative	1	0	0.5	0.5	0	0	0.5	0.5	1	0.778801	0	0	0.778801	0	1
