generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
  646	2	0	0	1	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	0	0	0.135336	0.135336	0	0
  646	2	0.02	0	0.98	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.11977e-12	0	0.135336	0.132629	1	7.72043e-13
  646	2	0.04	0	0.96	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.11977e-12	0	0.135336	0.129922	1	1.57625e-12
  646	2	0.06	0	0.94	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.11977e-12	0	0.135336	0.127216	1	2.41469e-12
  646	2	0.08	0	0.92	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.11977e-12	0	0.135336	0.124509	1	3.28958e-12
  646	2	0.1	0	0.9	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.11977e-12	0	0.135336	0.121802	1	4.20335e-12
  646	2	0.12	0	0.88	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.11978e-12	0	0.135336	0.119096	1	5.15866e-12
  646	2	0.14	0	0.86	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.11978e-12	0	0.135336	0.116389	1	6.1584e-12
  646	2	0.16	0	0.84	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.11978e-12	0	0.135336	0.113682	1	7.20575e-12
  646	2	0.18	0	0.82	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.11978e-12	0	0.135336	0.110975	1	8.30419e-12
  646	2	0.2	0	0.8	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.11978e-12	0	0.135336	0.108269	1	9.45756e-12
  646	2	0.22	0	0.78	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.11979e-12	0	0.135336	0.105562	1	1.06701e-11
  646	2	0.24	0	0.76	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.11979e-12	0	0.135336	0.102855	1	1.19464e-11
  646	2	0.26	0	0.74	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.11979e-12	0	0.135336	0.100148	1	1.32917e-11
  646	2	0.28	0	0.72	multiplicative	1	0.02	97.9998	97.9998	0	0	97.9998	97.9998	1	5.24606e-12	0	0.135336	0.0974418	1	1.50746e-11
  1398	2	0.3	0	0.7	multiplicative	1	0.02	91.3801	100.191	0	0	91.3801	100.191	1.09642	9.68924e-05	0	0.154652	0.108285	0.999373	0.000268436
  1365	2	0.32	0	0.68	multiplicative	1	0.02	86.7264	101.532	0	0	86.7264	101.532	1.17071	0.000190949	0	0.169853	0.115561	0.998876	0.000528755
  1337	2	0.34	0	0.66	multiplicative	1	0.02	82.2252	102.634	0	0	82.2252	102.634	1.24821	0.000308639	0	0.185972	0.122846	0.99834	0.000854216
  1312	2	0.36	0	0.64	multiplicative	1	0.02	77.85	103.484	0	0	77.85	103.484	1.32928	0.000454908	0	0.203097	0.130146	0.99776	0.00125834
