generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
  302	2	0	0	1	multiplicative	1	0	463.422	337.316	0	0	463.422	337.316	0.72788	0	0	1	1	0	0
  302	2	0.02	0	0.98	multiplicative	1	0	463.422	337.316	0	0	463.422	337.316	0.72788	6.25968e-36	0	1	0.98	1	1.27749e-37
  302	2	0.04	0	0.96	multiplicative	1	0	463.422	337.316	0	0	463.422	337.316	0.72788	6.25968e-36	0	1	0.96	1	2.6082e-37
  302	2	0.06	0	0.94	multiplicative	1	0	463.422	337.316	0	0	463.422	337.316	0.72788	6.25968e-36	0	1	0.94	1	3.99554e-37
  302	2	0.08	0	0.92	multiplicative	1	0	463.422	337.316	0	0	463.422	337.316	0.72788	6.25968e-36	0	1	0.92	1	5.4432e-37
  302	2	0.1	0	0.9	multiplicative	1	0	463.422	337.316	0	0	463.422	337.316	0.72788	6.25968e-36	0	1	0.9	1	6.9552e-37
  302	2	0.12	0	0.88	multiplicative	1	0	463.422	337.316	0	0	463.422	337.316	0.72788	6.25968e-36	0	1	0.88	1	8.53593e-37
  302	2	0.14	0	0.86	multiplicative	1	0	463.422	337.316	0	0	463.422	337.316	0.72788	6.25968e-36	0	1	0.86	1	1.01902e-36
  302	2	0.16	0	0.84	multiplicative	1	0	463.422	337.316	0	0	463.422	337.316	0.72788	6.25968e-36	0	1	0.84	1	1.19232e-36
  302	2	0.18	0	0.82	multiplicative	1	0	463.422	337.316	0	0	463.422	337.316	0.72788	6.25968e-36	0	1	0.82	1	1.37408e-36
  302	2	0.2	0	0.8	multiplicative	1	0	463.422	337.316	0	0	463.422	337.316	0.72788	6.25968e-36	0	1	0.8	1	1.56492e-36
  302	2	0.22	0	0.78	multiplicative	1	0	463.422	337.316	0	0	463.422	337.316	0.72788	6.25968e-36	0	1	0.78	1	1.76555e-36
