generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
  781	0.02	0	0	1	multiplicative	1	0.02	0.980001	0.980001	0	0	0.980001	0.980001	1	0	0	0.980199	0.980199	0	0
  616	0.02	0.02	0	0.98	multiplicative	1	0.02	0.685083	0.688897	0	0	0.685083	0.688897	1.00557	0.83261	0	0.985998	0.98293	0.155566	0.0169414
  493	0.02	0.04	0	0.96	multiplicative	1	0.02	0.514118	0.518568	0	0	0.514118	0.518568	1.00866	0.870473	0	0.989375	0.984619	0.120178	0.0353629
  406	0.02	0.06	0	0.94	multiplicative	1	0.02	0.406804	0.411061	0	0	0.406804	0.411061	1.01046	0.895097	0	0.991501	0.985716	0.0972305	0.054484
  344	0.02	0.08	0	0.92	multiplicative	1	0.02	0.334306	0.338173	0	0	0.334306	0.338173	1.01157	0.912116	0	0.992939	0.986473	0.0813978	0.0739699
  297	0.02	0.1	0	0.9	multiplicative	1	0.02	0.28241	0.285871	0	0	0.28241	0.285871	1.01226	0.924494	0	0.99397	0.987023	0.0698981	0.0936649
  262	0.02	0.12	0	0.88	multiplicative	1	0.02	0.243566	0.246654	0	0	0.243566	0.246654	1.01268	0.933866	0	0.994743	0.987438	0.0611984	0.11349
  233	0.02	0.14	0	0.86	multiplicative	1	0.02	0.213458	0.216218	0	0	0.213458	0.216218	1.01293	0.941195	0	0.995342	0.987761	0.0544009	0.1334
  210	0.02	0.16	0	0.84	multiplicative	1	0.02	0.189466	0.19194	0	0	0.189466	0.19194	1.01306	0.947075	0	0.99582	0.98802	0.0489496	0.153369
  191	0.02	0.18	0	0.82	multiplicative	1	0.02	0.169913	0.172138	0	0	0.169913	0.172138	1.01309	0.951894	0	0.996209	0.988232	0.0444841	0.173381
  175	0.02	0.2	0	0.8	multiplicative	1	0.02	0.153679	0.155687	0	0	0.153679	0.155687	1.01307	0.955913	0	0.996533	0.988409	0.040761	0.193425
  161	0.02	0.22	0	0.78	multiplicative	1	0.02	0.139989	0.141807	0	0	0.139989	0.141807	1.01299	0.959315	0	0.996806	0.988558	0.0376105	0.213492
  149	0.02	0.24	0	0.76	multiplicative	1	0.02	0.128292	0.129943	0	0	0.128292	0.129943	1.01287	0.962232	0	0.997039	0.988685	0.0349104	0.233579
  138	0.02	0.26	0	0.74	multiplicative	1	0.02	0.118184	0.119687	0	0	0.118184	0.119687	1.01272	0.964759	0	0.99724	0.988795	0.0325712	0.25368
  129	0.02	0.28	0	0.72	multiplicative	1	0.02	0.109362	0.110734	0	0	0.109362	0.110734	1.01254	0.96697	0	0.997416	0.988891	0.0305251	0.273793
  121	0.02	0.3	0	0.7	multiplicative	1	0.02	0.101598	0.102852	0	0	0.101598	0.102852	1.01235	0.96892	0	0.997571	0.988976	0.0287206	0.293916
  114	0.02	0.32	0	0.68	multiplicative	1	0.02	0.0947107	0.0958599	0	0	0.0947107	0.0958599	1.01213	0.970653	0	0.997709	0.989051	0.0271174	0.314048
  107	0.02	0.34	0	0.66	multiplicative	1	0.02	0.0885612	0.0896155	0	0	0.0885612	0.0896155	1.0119	0.972203	0	0.997831	0.989118	0.0256836	0.334186
  101	0.02	0.36	0	0.64	multiplicative	1	0.02	0.0830368	0.0840053	0	0	0.0830368	0.0840053	1.01166	0.973598	0	0.997941	0.989178	0.0243937	0.35433
  96	0.02	0.38	0	0.62	multiplicative	1	0.02	0.0780471	0.0789377	0	0	0.0780471	0.0789377	1.01141	0.974859	0	0.998041	0.989232	0.0232273	0.374479
